onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.105	8.5	Incongruent	Incentive	AttendLetter	n/a	1.003	2	1
41.905	8.5	Congruent	NonIncentive	AttendNumber	switch	0.615	1	1
52.705	8.5	Congruent	NonIncentive	AttendLetter	switch	0.898	2	1
63.505	8.5	Congruent	Incentive	AttendNumber	switch	1.174	1	1
75.505	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.84	1	1
88.705	8.5	Congruent	NonIncentive	AttendLetter	switch	0.714	1	1
100.705	8.5	Congruent	Incentive	AttendLetter	repeat	0.854	1	1
113.905	8.5	Congruent	NonIncentive	AttendNumber	switch	0.678	1	1
127.105	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.816	1	1
139.104	8.5	Incongruent	Incentive	AttendNumber	switch	1.514	1	1
152.304	8.5	Congruent	NonIncentive	AttendLetter	switch	1.02	2	1
163.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.982	2	1
175.104	8.5	Congruent	NonIncentive	AttendNumber	switch	1.306	2	1
187.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.173	1	1
200.304	8.5	Incongruent	Incentive	AttendNumber	repeat	1.127	1	1
211.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.93	2	1
223.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.691	2	1
233.904	8.5	Incongruent	Incentive	AttendLetter	switch	0.787	1	1
277.104	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.649	1	1
290.304	8.5	Incongruent	Incentive	AttendNumber	repeat	0.857	2	1
301.104	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.664	2	1
311.904	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.788	2	1
322.704	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.821	2	1
334.704	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.754	2	1
347.904	8.5	Congruent	NonIncentive	AttendNumber	switch	0.632	2	1
361.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.977	1	1
373.104	8.5	Incongruent	Incentive	AttendNumber	repeat	0.99	2	1
385.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.753	1	1
398.304	8.5	Congruent	Incentive	AttendNumber	switch	0.902	2	1
411.504	8.5	Congruent	NonIncentive	AttendLetter	switch	0.858	2	1
422.304	8.5	Congruent	NonIncentive	AttendNumber	switch	0.867	1	1
434.304	8.5	Incongruent	Incentive	AttendLetter	switch	1.364	1	1
445.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.629	1	1
457.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.769	1	1
469.104	8.5	Incongruent	Incentive	AttendNumber	switch	0.646	2	1
479.904	8.5	Incongruent	Incentive	AttendLetter	switch	0.615	2	1
523.104	8.5	Incongruent	Incentive	AttendLetter	n/a	0.8	1	1
533.904	8.5	Incongruent	Incentive	AttendLetter	repeat	0.912	2	1
544.704	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.702	1	1
557.904	8.5	Incongruent	Incentive	AttendNumber	switch	0.568	1	1
569.904	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.989	2	1
583.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.137	2	1
595.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.658	2	1
605.904	8.5	Congruent	NonIncentive	AttendNumber	switch	1.018	2	1
619.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.88	1	1
631.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.979	1	1
643.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.884	1	1
655.103	8.5	Incongruent	Incentive	AttendNumber	switch	0.639	2	1
667.103	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.649	2	1
677.903	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.365	1	1
688.703	8.5	Congruent	NonIncentive	AttendLetter	switch	0.659	2	1
701.903	8.5	Incongruent	Incentive	AttendLetter	repeat	0.828	1	1
715.103	8.5	Congruent	NonIncentive	AttendNumber	switch	1.064	1	1
725.903	8.5	Congruent	Incentive	AttendLetter	switch	0.652	2	1
