onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.101	8.5	Incongruent	Incentive	AttendNumber	n/a	0.65	1	1
41.901	8.5	Congruent	NonIncentive	AttendLetter	switch	0.599	1	1
55.101	8.5	Congruent	Incentive	AttendNumber	switch	0.814	1	1
68.301	8.5	Incongruent	NonIncentive	AttendNumber	repeat	1.012	1	1
80.301	8.5	Congruent	NonIncentive	AttendLetter	switch	0.958	2	1
91.101	8.5	Congruent	NonIncentive	AttendNumber	switch	0.955	1	1
103.1	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.851	2	1
116.3	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.779	1	1
127.1	8.5	Incongruent	Incentive	AttendNumber	repeat	0.927	1	1
139.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.825	2	1
152.3	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.853	2	1
163.1	8.5	Incongruent	Incentive	AttendLetter	repeat	0.995	1	1
173.9	8.5	Congruent	NonIncentive	AttendNumber	switch	0.94	1	1
185.9	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.712	2	1
197.9	8.5	Congruent	NonIncentive	AttendLetter	switch	0.916	2	1
211.1	8.5	Congruent	Incentive	AttendLetter	repeat	0.784	1	1
224.3	8.5	Incongruent	Incentive	AttendLetter	repeat	0.996	2	1
236.3	8.5	Incongruent	NonIncentive	AttendLetter	repeat	1.516	1	1
277.1	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.712	1	1
290.3	8.5	Congruent	NonIncentive	AttendNumber	switch	0.966	2	1
303.5	8.5	Incongruent	Incentive	AttendNumber	repeat	0.781	2	1
314.3	8.5	Congruent	NonIncentive	AttendLetter	switch	0.739	1	1
327.5	8.5	Incongruent	Incentive	AttendLetter	repeat	1.136	1	1
339.5	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.478	2	1
350.3	8.5	Incongruent	Incentive	AttendNumber	repeat	1.205	2	1
362.3	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.652	1	1
373.1	8.5	Incongruent	Incentive	AttendNumber	repeat	0.721	2	1
385.1	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.891	1	1
395.9	8.5	Congruent	NonIncentive	AttendLetter	switch	0.684	2	1
407.9	8.5	Incongruent	Incentive	AttendLetter	repeat	0.948	2	1
419.9	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.927	2	1
433.1	8.5	Congruent	NonIncentive	AttendNumber	switch	0.794	1	1
445.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.649	2	1
458.3	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.895	1	1
469.1	8.5	Congruent	Incentive	AttendNumber	switch	1.181	2	1
482.3	8.5	Congruent	NonIncentive	AttendLetter	switch	0.8	2	1
523.1	8.5	Incongruent	Incentive	AttendNumber	n/a	0.837	1	1
535.1	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.999	2	1
548.3	8.5	Incongruent	Incentive	AttendNumber	repeat	1.029	2	1
559.1	8.5	Incongruent	Incentive	AttendLetter	switch	0.706	1	1
571.1	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.705	1	1
583.1	8.5	Incongruent	Incentive	AttendLetter	repeat	0.83	2	1
596.3	8.5	Congruent	NonIncentive	AttendNumber	switch	1.359	2	1
607.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.934	2	1
620.299	8.5	Congruent	NonIncentive	AttendNumber	switch	0.954	2	1
631.108	8.5	Congruent	NonIncentive	AttendLetter	switch	0.809	1	1
643.108	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.948	1	1
656.308	8.5	Congruent	NonIncentive	AttendNumber	switch	0.855	1	1
669.508	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.782	1	1
680.308	8.5	Congruent	Incentive	AttendLetter	switch	0.793	2	1
691.108	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.757	2	1
701.908	8.5	Incongruent	Incentive	AttendLetter	switch	0.76	1	1
713.908	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.629	2	1
725.908	8.5	Congruent	NonIncentive	AttendNumber	switch	0.701	1	1
