onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.104	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.662	2	1
44.304	8.5	Incongruent	Incentive	AttendNumber	switch	0.968	2	1
57.504	8.5	Congruent	NonIncentive	AttendLetter	switch	0.601	1	1
69.504	8.5	Congruent	NonIncentive	AttendNumber	switch	0.671	2	1
81.504	8.5	Congruent	NonIncentive	AttendLetter	switch	0.719	2	1
94.704	8.5	Congruent	Incentive	AttendLetter	repeat	0.891	1	1
106.704	8.5	Incongruent	Incentive	AttendLetter	repeat	0.772	2	1
117.504	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.915	1	1
128.304	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.801	2	1
139.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.717	2	1
151.104	8.5	Incongruent	Incentive	AttendLetter	switch	0.911	1	1
163.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.67	1	1
176.304	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.629	1	1
187.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.119	1	1
200.304	8.5	Incongruent	Incentive	AttendNumber	repeat	0.842	2	1
211.104	8.5	Incongruent	NonIncentive	AttendLetter	switch	1.087	2	1
221.904	8.5	Incongruent	Incentive	AttendNumber	switch	0.736	1	1
233.904	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.027	2	1
277.104	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.983	1	1
290.304	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.733	1	1
303.504	8.5	Congruent	Incentive	AttendLetter	switch	0.839	2	1
316.704	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.65	2	1
328.704	8.5	Congruent	Incentive	AttendNumber	switch	1.153	1	1
339.504	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.693	1	1
350.304	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.76	1	1
362.304	8.5	Congruent	NonIncentive	AttendLetter	switch	0.907	1	1
373.104	8.5	Incongruent	Incentive	AttendLetter	repeat	1.084	2	1
385.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.957	2	1
398.304	8.5	Incongruent	Incentive	AttendNumber	switch	1.009	1	1
409.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.751	2	1
421.104	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.87	2	1
431.904	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.986	2	1
443.904	8.5	Congruent	NonIncentive	AttendLetter	switch	0.576	1	1
457.103	8.5	Incongruent	Incentive	AttendLetter	repeat	1.223	1	1
470.303	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.124	1	1
481.103	8.5	Incongruent	Incentive	AttendNumber	switch	0.69	1	1
523.103	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.592	2	1
536.303	8.5	Congruent	Incentive	AttendNumber	repeat	0.915	2	1
547.103	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.784	1	1
557.903	8.5	Congruent	NonIncentive	AttendLetter	switch	0.68	2	1
569.903	8.5	Incongruent	Incentive	AttendLetter	repeat	0.725	2	1
580.703	8.5	Incongruent	Incentive	AttendNumber	switch	1.104	2	1
593.903	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.069	2	1
607.103	8.5	Incongruent	Incentive	AttendNumber	repeat	1.031	1	1
619.103	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.734	1	1
631.103	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.963	2	1
644.303	8.5	Congruent	NonIncentive	AttendLetter	switch	0.622	1	1
657.503	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.842	2	1
668.303	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.956	1	1
679.103	8.5	Incongruent	Incentive	AttendLetter	repeat	1.165	2	0
691.103	8.5	Incongruent	Incentive	AttendLetter	repeat	0.893	2	1
703.103	8.5	Congruent	NonIncentive	AttendNumber	switch	0.69	1	1
715.103	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.944	2	1
725.903	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.665	2	1
