onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.1	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.728	1	1
41.9	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.66	2	1
52.7	8.5	Congruent	NonIncentive	AttendLetter	switch	0.785	2	1
64.7	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.123	1	1
76.7	8.5	Incongruent	Incentive	AttendNumber	repeat	0.796	1	1
87.5	8.5	Incongruent	Incentive	AttendLetter	switch	0.869	1	1
99.5	8.5	Congruent	Incentive	AttendNumber	switch	0.877	1	1
112.7	8.5	Congruent	NonIncentive	AttendLetter	switch	1.468	2	1
125.9	8.5	Congruent	NonIncentive	AttendNumber	switch	1.098	1	1
139.1	8.5	Congruent	Incentive	AttendLetter	switch	0.961	1	1
151.1	8.5	Incongruent	Incentive	AttendNumber	switch	1.064	1	1
163.1	8.5	Congruent	NonIncentive	AttendLetter	switch	1.312	2	1
176.3	8.5	Incongruent	Incentive	AttendLetter	repeat	0.857	2	1
187.1	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.806	2	1
197.9	8.5	Congruent	NonIncentive	AttendNumber	switch	0.734	1	1
211.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.721	1	1
223.1	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.688	1	1
236.3	8.5	Congruent	NonIncentive	AttendNumber	switch	0.796	2	1
277.1	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.916	1	1
287.9	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.037	2	1
301.1	8.5	Congruent	Incentive	AttendNumber	repeat	0.878	2	1
313.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.628	1	1
323.9	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.771	2	1
335.9	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.961	1	1
349.1	8.5	Incongruent	Incentive	AttendLetter	repeat	1.325	1	1
359.9	8.5	Congruent	NonIncentive	AttendNumber	switch	1.29	1	1
371.9	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.723	1	1
385.1	8.5	Congruent	NonIncentive	AttendLetter	switch	1.089	2	1
397.1	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.75	2	1
407.9	8.5	Incongruent	Incentive	AttendNumber	switch	0.929	1	0
421.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.705	1	1
433.1	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.593	2	1
446.3	8.5	Incongruent	Incentive	AttendNumber	repeat	0.84	2	1
458.3	8.5	Incongruent	Incentive	AttendNumber	repeat	0.98	2	1
469.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.768	2	1
479.899	8.5	Incongruent	Incentive	AttendLetter	repeat	1.222	2	1
523.108	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.934	1	1
533.908	8.5	Incongruent	Incentive	AttendNumber	switch	0.884	1	1
547.108	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.841	1	1
559.108	8.5	Congruent	NonIncentive	AttendLetter	switch	0.832	1	1
572.308	8.5	Incongruent	Incentive	AttendLetter	repeat	0.711	2	1
584.308	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.945	1	1
597.508	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.084	2	1
608.308	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.683	2	1
620.308	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.691	2	1
631.108	8.5	Congruent	NonIncentive	AttendLetter	switch	0.767	2	1
643.108	8.5	Congruent	NonIncentive	AttendNumber	switch	0.609	1	1
653.907	8.5	Congruent	NonIncentive	AttendLetter	switch	0.689	2	1
664.707	8.5	Congruent	NonIncentive	AttendNumber	switch	0.639	2	1
676.707	8.5	Incongruent	Incentive	AttendNumber	repeat	0.648	2	1
687.507	8.5	Incongruent	Incentive	AttendLetter	switch	0.679	1	1
700.707	8.5	Congruent	Incentive	AttendLetter	repeat	0.736	2	1
713.907	8.5	Congruent	NonIncentive	AttendNumber	switch	0.826	1	1
727.107	8.5	Incongruent	Incentive	AttendLetter	switch	0.854	1	1
