onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.105	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.878	2	1
41.905	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.603	1	1
52.705	8.5	Incongruent	Incentive	AttendLetter	switch	0.695	1	1
64.705	8.5	Incongruent	Incentive	AttendLetter	repeat	0.847	2	1
76.705	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.86	2	1
89.905	8.5	Congruent	NonIncentive	AttendNumber	switch	0.606	1	1
103.105	8.5	Congruent	Incentive	AttendNumber	repeat	0.709	1	1
116.313	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.874	1	1
127.105	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.938	1	1
139.113	8.5	Incongruent	Incentive	AttendNumber	switch	0.731	1	1
152.305	8.5	Incongruent	Incentive	AttendNumber	repeat	0.812	1	1
164.305	8.5	Congruent	NonIncentive	AttendLetter	switch	1.068	2	1
176.305	8.5	Congruent	NonIncentive	AttendNumber	switch	1.046	2	1
188.305	8.5	Congruent	NonIncentive	AttendLetter	switch	0.769	2	1
199.105	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.591	2	1
209.905	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.694	1	1
223.105	8.5	Congruent	Incentive	AttendLetter	repeat	0.747	1	1
236.305	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.992	1	1
277.105	8.5	Congruent	Incentive	AttendNumber	n/a	0.683	2	1
287.905	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.501	1	1
299.905	8.5	Incongruent	Incentive	AttendNumber	repeat	0.629	2	1
310.705	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.891	2	1
323.905	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.878	2	1
335.905	8.5	Incongruent	Incentive	AttendNumber	switch	0.598	2	1
347.905	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.706	1	1
358.713	8.5	Congruent	NonIncentive	AttendLetter	switch	1.277	2	1
371.905	8.5	Incongruent	Incentive	AttendNumber	switch	0.701	2	1
385.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.814	2	1
398.304	8.5	Incongruent	NonIncentive	AttendNumber	repeat	1.194	2	1
409.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.798	1	1
421.113	8.5	Incongruent	Incentive	AttendLetter	repeat	0.668	2	1
434.304	8.5	Incongruent	Incentive	AttendLetter	repeat	1.608	1	1
446.304	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.931	1	1
457.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	2.542	2	1
469.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.774	1	1
482.304	8.5	Congruent	NonIncentive	AttendNumber	switch	0.975	1	1
523.104	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.837	2	1
535.104	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.76	2	1
548.304	8.5	Congruent	Incentive	AttendLetter	switch	0.615	2	1
561.504	8.5	Congruent	NonIncentive	AttendNumber	switch	0.746	2	1
573.504	8.5	Incongruent	Incentive	AttendLetter	switch	1.358	2	1
585.513	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.822	1	1
596.304	8.5	Incongruent	Incentive	AttendNumber	switch	0.59	2	1
609.512	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.701	2	1
620.304	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.919	2	0
631.104	8.5	Incongruent	Incentive	AttendNumber	repeat	0.557	1	1
641.912	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.595	1	1
653.912	8.5	Congruent	NonIncentive	AttendLetter	switch	0.766	1	1
665.904	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.602	2	1
679.104	8.5	Incongruent	Incentive	AttendLetter	repeat	1.193	1	1
692.304	8.5	Congruent	NonIncentive	AttendNumber	switch	1.159	1	1
704.312	8.5	Incongruent	Incentive	AttendLetter	switch	0.589	1	1
717.504	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.644	1	1
728.304	8.5	Congruent	NonIncentive	AttendNumber	switch	1.336	2	1
