onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.113	8.5	Congruent	Incentive	AttendNumber	n/a	0.573	1	1
41.905	8.5	Congruent	Incentive	AttendLetter	switch	1.048	1	1
53.904	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.936	1	1
65.904	8.5	Incongruent	Incentive	AttendNumber	repeat	0.881	1	1
76.704	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.638	2	1
88.704	8.5	Congruent	NonIncentive	AttendLetter	switch	0.936	2	1
101.904	8.5	Incongruent	Incentive	AttendLetter	repeat	1.398	2	1
112.704	8.5	Incongruent	Incentive	AttendLetter	repeat	0.538	1	1
125.913	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.727	2	1
139.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.738	1	1
152.304	8.5	Congruent	NonIncentive	AttendLetter	switch	0.674	1	1
164.304	8.5	Congruent	NonIncentive	AttendNumber	switch	0.642	1	1
175.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.787	2	1
187.104	8.5	Incongruent	Incentive	AttendNumber	switch	0.643	1	1
197.904	8.5	Incongruent	NonIncentive	AttendLetter	switch	1.279	1	1
208.704	8.5	Congruent	NonIncentive	AttendNumber	switch	1.273	1	0
220.704	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.797	1	1
233.904	8.5	Congruent	NonIncentive	AttendLetter	switch	0.863	2	1
277.104	8.5	Congruent	Incentive	AttendNumber	n/a	0.91	2	1
287.904	8.5	Congruent	NonIncentive	AttendLetter	switch	1.012	1	1
301.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	1	1	1
313.104	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.686	2	1
323.904	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.991	1	1
337.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.826	2	1
347.904	8.5	Congruent	NonIncentive	AttendNumber	switch	0.62	1	1
359.904	8.5	Incongruent	Incentive	AttendNumber	repeat	0.817	2	1
371.904	8.5	Congruent	NonIncentive	AttendLetter	switch	0.766	2	1
385.104	8.5	Congruent	NonIncentive	AttendNumber	switch	1.095	1	1
395.904	8.5	Incongruent	Incentive	AttendLetter	switch	0.892	2	0
409.112	8.5	Incongruent	Incentive	AttendNumber	switch	1.326	2	1
422.304	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.603	1	1
433.104	8.5	Incongruent	Incentive	AttendNumber	repeat	0.652	2	1
446.304	8.5	Congruent	NonIncentive	AttendLetter	switch	0.675	2	1
457.104	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.812	2	1
469.104	8.5	Incongruent	Incentive	AttendLetter	switch	1.347	2	1
481.112	8.5	Congruent	NonIncentive	AttendNumber	switch	0.945	2	1
523.104	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.993	1	1
536.304	8.5	Incongruent	Incentive	AttendLetter	repeat	0.664	1	1
548.304	8.5	Congruent	NonIncentive	AttendNumber	switch	0.462	1	1
559.104	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.814	1	0
569.903	8.5	Incongruent	Incentive	AttendLetter	switch	1.217	2	1
583.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.42	2	1
595.103	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.51	1	1
605.903	8.5	Congruent	NonIncentive	AttendNumber	switch	0.65	2	1
617.903	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.785	2	1
631.103	8.5	Congruent	NonIncentive	AttendLetter	switch	0.897	1	1
641.903	8.5	Incongruent	Incentive	AttendNumber	switch	0.923	2	1
653.903	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.652	1	1
667.103	8.5	Congruent	NonIncentive	AttendLetter	switch	1.022	2	1
679.103	8.5	Congruent	NonIncentive	AttendNumber	switch	1.925	2	1
689.903	8.5	Incongruent	Incentive	AttendNumber	repeat	0.809	1	1
703.103	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.961	1	1
716.303	8.5	Incongruent	Incentive	AttendLetter	switch	0.837	1	1
727.103	8.5	Congruent	Incentive	AttendLetter	repeat	1.281	2	1
