onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.102	8.5	Incongruent	NonIncentive	AttendLetter	n/a	0.895	1	1
44.302	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.992	1	1
55.102	8.5	Congruent	NonIncentive	AttendNumber	switch	0.593	1	1
68.302	8.5	Congruent	NonIncentive	AttendLetter	switch	0.709	2	1
80.302	8.5	Congruent	Incentive	AttendLetter	repeat	1.136	1	1
92.302	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.623	2	1
103.102	8.5	Incongruent	Incentive	AttendNumber	switch	0.774	1	1
113.902	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.895	1	1
127.102	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.931	2	1
139.102	8.5	Incongruent	Incentive	AttendNumber	repeat	1.822	1	1
152.302	8.5	Incongruent	Incentive	AttendLetter	switch	0.639	1	1
164.302	8.5	Congruent	NonIncentive	AttendNumber	switch	0.883	2	1
175.101	8.5	Congruent	NonIncentive	AttendLetter	switch	1.368	2	1
188.301	8.5	Congruent	NonIncentive	AttendNumber	switch	0.597	1	1
201.501	8.5	Incongruent	Incentive	AttendLetter	switch	1.049	2	1
213.501	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.994	2	1
225.501	8.5	Congruent	NonIncentive	AttendNumber	switch	0.728	1	1
236.301	8.5	Congruent	Incentive	AttendNumber	repeat	0.555	1	1
277.101	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.647	1	1
289.101	8.5	Incongruent	Incentive	AttendNumber	repeat	0.809	1	0
299.901	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.738	2	1
311.901	8.5	Congruent	NonIncentive	AttendLetter	switch	0.722	1	1
325.101	8.5	Incongruent	Incentive	AttendNumber	switch	0.928	2	1
335.901	8.5	Congruent	NonIncentive	AttendLetter	switch	0.867	1	1
349.101	8.5	Incongruent	Incentive	AttendLetter	repeat	1.542	1	1
362.301	8.5	Congruent	NonIncentive	AttendNumber	switch	0.725	2	1
373.101	8.5	Incongruent	Incentive	AttendNumber	repeat	1.067	2	1
385.101	8.5	Congruent	NonIncentive	AttendLetter	switch	0.533	2	1
395.901	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.659	1	1
407.901	8.5	Congruent	NonIncentive	AttendNumber	switch	0.508	1	1
421.101	8.5	Congruent	NonIncentive	AttendLetter	switch	0.792	2	1
433.101	8.5	Incongruent	Incentive	AttendLetter	repeat	0.671	2	1
443.901	8.5	Congruent	NonIncentive	AttendNumber	switch	1.034	1	1
457.101	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.885	2	1
470.301	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.907	2	1
482.301	8.5	Congruent	Incentive	AttendNumber	switch	0.578	2	1
523.101	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.579	2	1
533.901	8.5	Congruent	NonIncentive	AttendNumber	switch	1.112	2	1
545.901	8.5	Congruent	Incentive	AttendLetter	switch	0.808	2	1
556.701	8.5	Congruent	NonIncentive	AttendNumber	switch	0.518	2	1
567.501	8.5	Incongruent	Incentive	AttendLetter	switch	1.696	1	1
580.701	8.5	Incongruent	Incentive	AttendLetter	repeat	0.561	1	1
593.901	8.5	Incongruent	Incentive	AttendLetter	repeat	0.87	2	1
607.101	8.5	Congruent	NonIncentive	AttendNumber	switch	0.581	1	1
619.101	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.719	2	1
631.101	8.5	Congruent	NonIncentive	AttendLetter	switch	0.816	1	1
641.901	8.5	Congruent	NonIncentive	AttendNumber	switch	0.539	1	1
653.9	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.048	2	1
667.1	8.5	Congruent	NonIncentive	AttendLetter	switch	0.834	2	1
679.1	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.859	1	1
691.1	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.767	1	1
704.3	8.5	Congruent	NonIncentive	AttendNumber	switch	0.62	1	1
715.1	8.5	Incongruent	Incentive	AttendNumber	repeat	0.714	2	1
725.9	8.5	Incongruent	Incentive	AttendNumber	repeat	0.723	1	1
