onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.105	8.5	Incongruent	Incentive	AttendNumber	n/a	0.608	1	1
41.905	8.5	Congruent	Incentive	AttendLetter	switch	1.049	1	1
55.105	8.5	Congruent	NonIncentive	AttendNumber	switch	1.279	2	1
68.305	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.967	1	1
79.113	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.832	1	1
91.105	8.5	Congruent	NonIncentive	AttendLetter	switch	0.666	2	1
104.305	8.5	Incongruent	Incentive	AttendLetter	repeat	0.881	1	1
116.305	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.871	2	1
127.105	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.447	2	1
139.105	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.551	1	1
152.313	8.5	Congruent	Incentive	AttendNumber	switch	0.55	1	1
164.305	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.612	1	1
177.505	8.5	Incongruent	Incentive	AttendNumber	repeat	0.622	1	1
189.505	8.5	Congruent	NonIncentive	AttendLetter	switch	0.775	2	1
201.505	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.147	1	1
214.705	8.5	Congruent	NonIncentive	AttendNumber	switch	0.99	2	1
225.505	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.976	1	1
236.313	8.5	Incongruent	Incentive	AttendLetter	switch	0.951	2	1
277.104	8.5	Incongruent	Incentive	AttendNumber	n/a	0.677	2	1
287.904	8.5	Congruent	Incentive	AttendNumber	repeat	0.62	2	1
298.704	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.654	1	1
309.504	8.5	Congruent	NonIncentive	AttendLetter	switch	0.729	1	1
321.513	8.5	Congruent	NonIncentive	AttendNumber	switch	0.694	1	1
334.704	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.589	2	1
346.704	8.5	Incongruent	Incentive	AttendNumber	repeat	0.797	2	1
358.705	8.5	Congruent	NonIncentive	AttendLetter	switch	0.591	2	1
371.904	8.5	Incongruent	NonIncentive	AttendLetter	repeat	1.531	2	1
385.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.526	1	1
395.904	8.5	Congruent	NonIncentive	AttendLetter	switch	0.632	2	1
407.904	8.5	Incongruent	Incentive	AttendLetter	repeat	1.248	1	1
419.913	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.734	1	1
431.904	8.5	Incongruent	Incentive	AttendNumber	switch	0.528	2	1
442.704	8.5	Congruent	NonIncentive	AttendLetter	switch	0.648	2	1
455.904	8.5	Incongruent	Incentive	AttendLetter	repeat	0.966	2	1
469.104	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.692	1	1
482.304	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.262	2	1
523.104	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.769	1	1
536.304	8.5	Congruent	NonIncentive	AttendNumber	switch	1.103	1	1
548.304	8.5	Congruent	NonIncentive	AttendLetter	switch	0.698	1	1
561.504	8.5	Incongruent	Incentive	AttendNumber	switch	0.57	1	1
572.304	8.5	Incongruent	Incentive	AttendLetter	switch	0.73	1	1
583.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.706	1	1
593.904	8.5	Congruent	NonIncentive	AttendLetter	switch	1.179	1	1
605.904	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.724	2	1
619.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.956	2	1
631.104	8.5	Incongruent	Incentive	AttendNumber	repeat	0.719	2	1
644.304	8.5	Incongruent	Incentive	AttendLetter	switch	1.261	1	1
655.104	8.5	Congruent	NonIncentive	AttendNumber	switch	1.227	1	1
665.904	8.5	Incongruent	Incentive	AttendLetter	switch	1.36	2	1
679.104	8.5	Congruent	Incentive	AttendLetter	repeat	0.632	2	1
691.104	8.5	Congruent	NonIncentive	AttendNumber	switch	0.975	2	1
703.104	8.5	Congruent	NonIncentive	AttendLetter	switch	0.676	2	1
716.304	8.5	Congruent	NonIncentive	AttendNumber	switch	1.593	2	1
728.304	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.705	1	0
