onset	duration	type
7.214	1	Wait
22.609	1	Wait
31.872	1	Wait
34.238	1	Wait
40.702	1	Wait
58.729	1	Wait
100.51	1	Wait
102.86	1	Wait
109.96	1	Wait
112.33	1	Wait
114.66	1	Wait
128.25	1	Wait
144.75	1	Wait
149.15	1	Wait
155.54	1	Wait
157.96	1	Wait
168.12	1	Wait
170.52	1	Wait
172.87	1	Wait
175.22	1	Wait
217.02	1	Wait
219.6	1	Wait
228.72	1	Wait
230.9	1	Wait
246.19	1	Wait
248.61	1	Wait
263.84	1	Wait
268.25	1	Wait
279.63	1	Wait
286.05	1	Wait
288.51	1	Wait
290.98	1	Wait
295.38	1	Wait
331.53	1	Wait
340.69	1	Wait
343.06	1	Wait
356.62	1	Wait
358.95	1	Wait
361.5	1	Wait
373.12	1	Wait
375.88	1	Wait
378.31	1	Wait
382.69	1	Wait
387.24	1	Wait
389.62	1	Wait
425.93	1	Wait
428.88	1	Wait
438.39	1	Wait
440.87	1	Wait
443.47	1	Wait
457.65	1	Wait
469.3	1	Wait
477.83	1	Wait
482.31	1	Wait
499.82	1	Wait
506.57	1	Wait
509.31	1	Wait
556.32	1	Wait
558.66	1	Wait
568.19	1	Wait
572.79	1	Wait
575.52	1	Wait
588.8	1	Wait
593.4	1	Wait
595.88	1	Wait
601.87	1	Wait
611.7	1	Wait
614.19	1	Wait
622.66	1	Wait
625.11	1	Wait
629.59	1	Wait
660.23	1	Wait
662.63	1	Wait
675.8	1	Wait
685.99	1	Wait
688.57	1	Wait
693.33	1	Wait
702.76	1	Wait
705.23	1	Wait
707.58	1	Wait
709.93	1	Wait
755.18	1	Wait
768.4	1	Wait
770.84	1	Wait
782.17	1	Wait
786.53	1	Wait
789.13	1	Wait
798.41	1	Wait
802.84	1	Wait
809.24	1	Wait
848.46	1	Wait
850.83	1	Wait
861.94	1	Wait
888.88	1	Wait
891.33	1	Wait
903.87	1	Wait
2.582	1	Reward
11.646	1	Reward
24.941	1	Reward
43.568	1	Reward
90.367	1	Reward
95.732	1	Reward
105.26	1	Reward
119.27	1	Reward
136.82	1	Reward
160.47	1	Reward
207.22	1	Reward
212.14	1	Reward
221.95	1	Reward
235.3	1	Reward
253.01	1	Reward
274.62	1	Reward
321.98	1	Reward
326.83	1	Reward
335.88	1	Reward
349.61	1	Reward
368.05	1	Reward
416.03	1	Reward
421.01	1	Reward
431.43	1	Reward
446.27	1	Reward
464.17	1	Reward
486.67	1	Reward
533.57	1	Reward
538.74	1	Reward
547.38	1	Reward
561.11	1	Reward
579.92	1	Reward
604.16	1	Reward
650.45	1	Reward
655.31	1	Reward
664.99	1	Reward
678.24	1	Reward
697.75	1	Reward
745.46	1	Reward
750.58	1	Reward
759.58	1	Reward
773.3	1	Reward
791.58	1	Reward
838.83	1	Reward
843.73	1	Reward
853.21	1	Reward
866.45	1	Reward
884.1	1	Reward
930.28	1	Reward
