onset	duration	type
22.992	1	Wait
30.189	1	Wait
32.605	1	Wait
37.137	1	Wait
41.535	1	Wait
48.932	1	Wait
53.347	1	Wait
57.763	1	Wait
60.295	1	Wait
62.677	1	Wait
101.78	1	Wait
104.21	1	Wait
111.31	1	Wait
113.89	1	Wait
118.32	1	Wait
125.61	1	Wait
131.97	1	Wait
134.28	1	Wait
177.12	1	Wait
186.93	1	Wait
189.91	1	Wait
192.23	1	Wait
205.44	1	Wait
252.94	1	Wait
256.76	1	Wait
263.61	1	Wait
265.99	1	Wait
283.05	1	Wait
331.9	1	Wait
339.51	1	Wait
341.94	1	Wait
353.31	1	Wait
355.85	1	Wait
358.57	1	Wait
360.85	1	Wait
365.17	1	Wait
404.92	1	Wait
414.02	1	Wait
416.55	1	Wait
420.96	1	Wait
430.49	1	Wait
435.33	1	Wait
437.62	1	Wait
440.07	1	Wait
480.98	1	Wait
483.36	1	Wait
492.47	1	Wait
495.07	1	Wait
506.7	1	Wait
515.13	1	Wait
557.26	1	Wait
559.86	1	Wait
567.08	1	Wait
569.39	1	Wait
580.52	1	Wait
582.9	1	Wait
585.35	1	Wait
591.05	1	Wait
593.42	1	Wait
634.79	1	Wait
644.02	1	Wait
648.76	1	Wait
651.18	1	Wait
660.59	1	Wait
662.96	1	Wait
665.38	1	Wait
669.66	1	Wait
719.67	1	Wait
726.05	1	Wait
733.62	1	Wait
744.1	1	Wait
786.28	1	Wait
793.41	1	Wait
797.89	1	Wait
800.46	1	Wait
810.24	1	Wait
812.61	1	Wait
816.32	1	Wait
818.67	1	Wait
873.92	1	Wait
876.38	1	Wait
883.55	1	Wait
887.91	1	Wait
890.23	1	Wait
894.54	1	Wait
936.81	1	Wait
2.949	1	Reward
11.829	1	Reward
25.374	1	Reward
43.968	1	Reward
92.067	1	Reward
96.948	1	Reward
106.59	1	Reward
120.72	1	Reward
167.32	1	Reward
172.12	1	Reward
181.85	1	Reward
196.58	1	Reward
243.09	1	Reward
248.04	1	Reward
259.14	1	Reward
272.37	1	Reward
319.65	1	Reward
324.78	1	Reward
334.38	1	Reward
348.37	1	Reward
395.32	1	Reward
400.24	1	Reward
409.32	1	Reward
423.41	1	Reward
471.31	1	Reward
476.24	1	Reward
485.79	1	Reward
499.59	1	Reward
548.03	1	Reward
552.65	1	Reward
562.23	1	Reward
575.74	1	Reward
625.51	1	Reward
630.22	1	Reward
639.17	1	Reward
653.58	1	Reward
701.71	1	Reward
706.53	1	Reward
715.17	1	Reward
728.44	1	Reward
774.74	1	Reward
779.53	1	Reward
788.63	1	Reward
802.86	1	Reward
851.76	1	Reward
856.34	1	Reward
865.07	1	Reward
878.78	1	Reward
925.51	1	Reward
930.1	1	Reward
939.18	1	Reward
