onset	duration	type
18.26	1	Wait
29.639	1	Wait
34.054	1	Wait
36.553	1	Wait
52.164	1	Wait
58.578	1	Wait
69.908	1	Wait
72.273	1	Wait
76.622	1	Wait
78.921	1	Wait
83.336	1	Wait
87.734	1	Wait
90.333	1	Wait
97.348	1	Wait
101.73	1	Wait
106.13	1	Wait
110.51	1	Wait
112.89	1	Wait
115.27	1	Wait
117.61	1	Wait
119.99	1	Wait
122.32	1	Wait
151.15	1	Wait
167.01	1	Wait
174.44	1	Wait
176.78	1	Wait
185.15	1	Wait
194.23	1	Wait
196.59	1	Wait
199.06	1	Wait
201.58	1	Wait
204.04	1	Wait
215.25	1	Wait
229.77	1	Wait
234.26	1	Wait
267.4	1	Wait
276.93	1	Wait
279.31	1	Wait
283.65	1	Wait
292.89	1	Wait
295.24	1	Wait
301.69	1	Wait
309.17	1	Wait
317.6	1	Wait
322.05	1	Wait
331.18	1	Wait
333.6	1	Wait
337.98	1	Wait
340.43	1	Wait
348.97	1	Wait
360.25	1	Wait
362.67	1	Wait
365.08	1	Wait
369.53	1	Wait
378.46	1	Wait
382.88	1	Wait
392.99	1	Wait
399.75	1	Wait
404.22	1	Wait
408.67	1	Wait
413.03	1	Wait
417.38	1	Wait
442.91	1	Wait
445.32	1	Wait
452.62	1	Wait
457.03	1	Wait
459.42	1	Wait
470.78	1	Wait
473.18	1	Wait
475.61	1	Wait
478.01	1	Wait
487.52	1	Wait
489.99	1	Wait
494.37	1	Wait
539.09	1	Wait
550.33	1	Wait
580.57	1	Wait
585.12	1	Wait
589.54	1	Wait
592.35	1	Wait
639.6	1	Wait
641.98	1	Wait
651.8	1	Wait
656.16	1	Wait
701.36	1	Wait
703.66	1	Wait
710.66	1	Wait
713.01	1	Wait
717.39	1	Wait
724.62	1	Wait
726.99	1	Wait
729.74	1	Wait
732.18	1	Wait
749.53	1	Wait
751.89	1	Wait
754.28	1	Wait
758.66	1	Wait
807.84	1	Wait
817.42	1	Wait
819.97	1	Wait
822.3	1	Wait
824.62	1	Wait
826.93	1	Wait
870.67	1	Wait
872.98	1	Wait
880.03	1	Wait
884.36	1	Wait
886.7	1	Wait
2.499	1	Reward
11.362	1	Reward
24.657	1	Reward
43.084	1	Reward
65.043	1	Reward
92.649	1	Reward
140.75	1	Reward
146.26	1	Reward
155.64	1	Reward
169.47	1	Reward
187.47	1	Reward
210.42	1	Reward
256.79	1	Reward
262	1	Reward
271.98	1	Reward
286.03	1	Reward
304.14	1	Reward
326.45	1	Reward
353.36	1	Reward
385.39	1	Reward
433.29	1	Reward
438.07	1	Reward
447.82	1	Reward
461.88	1	Reward
480.44	1	Reward
527.17	1	Reward
532.21	1	Reward
541.45	1	Reward
554.73	1	Reward
571.68	1	Reward
619.34	1	Reward
624.06	1	Reward
632.84	1	Reward
646.4	1	Reward
692.05	1	Reward
696.66	1	Reward
705.98	1	Reward
719.8	1	Reward
738.6	1	Reward
785.12	1	Reward
790.1	1	Reward
798.88	1	Reward
812.32	1	Reward
859.92	1	Reward
865.15	1	Reward
875.35	1	Reward
921.85	1	Reward
