onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.112	8.5	Incongruent	Incentive	AttendLetter	n/a	0.834	2	1
43.112	8.5	Congruent	NonIncentive	AttendNumber	switch	0.719	1	1
53.912	8.5	Congruent	NonIncentive	AttendLetter	switch	0.759	2	1
67.112	8.5	Congruent	Incentive	AttendLetter	repeat	1.108	1	1
79.112	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.926	2	1
89.912	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.852	1	1
100.711	8.5	Congruent	Incentive	AttendNumber	repeat	0.713	1	1
113.911	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.04	1	1
125.912	8.5	Congruent	NonIncentive	AttendLetter	switch	0.951	2	1
139.111	8.5	Congruent	NonIncentive	AttendNumber	switch	0.998	2	1
149.911	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.896	2	1
160.711	8.5	Incongruent	Incentive	AttendLetter	switch	1.112	1	1
173.911	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.747	1	1
184.711	8.5	Incongruent	Incentive	AttendNumber	switch	0.862	1	1
197.911	8.5	Congruent	NonIncentive	AttendLetter	switch	0.891	2	1
209.911	8.5	Congruent	NonIncentive	AttendNumber	switch	0.848	1	1
221.911	8.5	Incongruent	Incentive	AttendNumber	repeat	0.903	1	1
235.111	8.5	Congruent	NonIncentive	AttendLetter	switch	1.116	1	1
277.111	8.5	Incongruent	Incentive	AttendLetter	n/a	1.213	2	1
290.311	8.5	Incongruent	Incentive	AttendLetter	repeat	0.734	1	1
301.111	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.847	1	1
313.111	8.5	Incongruent	Incentive	AttendNumber	switch	0.747	2	1
323.911	8.5	Incongruent	Incentive	AttendNumber	repeat	0.711	2	1
337.111	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.699	1	1
349.111	8.5	Congruent	NonIncentive	AttendLetter	switch	0.622	1	1
362.311	8.5	Congruent	NonIncentive	AttendNumber	switch	1.089	1	1
374.311	8.5	Congruent	Incentive	AttendNumber	repeat	0.726	2	1
385.111	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.639	1	1
395.911	8.5	Incongruent	Incentive	AttendNumber	repeat	0.752	2	1
409.111	8.5	Congruent	NonIncentive	AttendLetter	switch	1.363	2	1
422.311	8.5	Congruent	NonIncentive	AttendNumber	switch	0.704	2	1
434.311	8.5	Congruent	NonIncentive	AttendLetter	switch	1.142	2	1
445.111	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.223	1	1
455.911	8.5	Incongruent	NonIncentive	AttendLetter	repeat	1.186	2	1
467.911	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.722	2	1
481.111	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.15	2	1
523.111	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.806	1	1
533.911	8.5	Congruent	NonIncentive	AttendLetter	switch	0.709	2	1
547.111	8.5	Congruent	NonIncentive	AttendNumber	switch	0.778	2	1
557.911	8.5	Congruent	Incentive	AttendLetter	switch	0.933	2	1
569.911	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.643	1	1
581.91	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.08	2	1
595.111	8.5	Incongruent	Incentive	AttendLetter	repeat	0.913	2	0
607.11	8.5	Incongruent	NonIncentive	AttendNumber	switch	0.869	2	1
617.91	8.5	Incongruent	Incentive	AttendNumber	repeat	1.04	1	1
631.11	8.5	Congruent	NonIncentive	AttendLetter	switch	0.732	1	1
643.11	8.5	Congruent	NonIncentive	AttendNumber	switch	0.807	1	1
653.91	8.5	Incongruent	Incentive	AttendLetter	switch	0.946	2	1
667.11	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.122	1	1
680.31	8.5	Congruent	NonIncentive	AttendNumber	switch	0.925	2	1
691.11	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.792	1	1
703.11	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.697	2	1
713.91	8.5	Incongruent	Incentive	AttendLetter	switch	0.672	1	1
725.91	8.5	Incongruent	Incentive	AttendNumber	switch	0.921	1	0
