onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.096	8.5	Congruent	NonIncentive	AttendLetter	n/a	1.066	2	1
41.896	8.5	Incongruent	Incentive	AttendLetter	repeat	0.758	1	1
52.696	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.608	1	1
63.496	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.78	1	1
76.696	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.822	2	1
88.696	8.5	Incongruent	Incentive	AttendNumber	switch	0.839	1	1
101.896	8.5	Congruent	Incentive	AttendLetter	switch	0.792	1	1
115.096	8.5	Congruent	NonIncentive	AttendNumber	switch	1.043	2	1
127.096	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.057	1	1
139.096	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.054	1	1
152.296	8.5	Congruent	NonIncentive	AttendLetter	switch	0.827	2	1
164.296	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.89	2	1
177.496	8.5	Incongruent	Incentive	AttendLetter	repeat	0.835	2	1
190.696	8.5	Congruent	NonIncentive	AttendNumber	switch	0.737	2	1
201.496	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.122	1	1
213.496	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.846	1	1
224.296	8.5	Incongruent	Incentive	AttendNumber	repeat	1.393	2	0
236.296	8.5	Congruent	Incentive	AttendNumber	repeat	1.25	2	0
277.096	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.944	2	1
287.896	8.5	Incongruent	Incentive	AttendNumber	repeat	0.966	1	0
298.695	8.5	Incongruent	Incentive	AttendLetter	switch	1.21	2	1
311.895	8.5	Incongruent	Incentive	AttendNumber	switch	1.391	2	1
322.695	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.792	1	1
335.895	8.5	Incongruent	NonIncentive	AttendLetter	switch	0.753	2	1
347.895	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.974	1	1
359.895	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.75	1	1
371.895	8.5	Congruent	NonIncentive	AttendNumber	switch	1.337	1	1
385.095	8.5	Congruent	NonIncentive	AttendLetter	switch	0.945	2	1
398.295	8.5	Incongruent	Incentive	AttendNumber	switch	0.775	2	1
409.095	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.806	1	1
419.912	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.658	2	1
431.895	8.5	Congruent	NonIncentive	AttendLetter	switch	1.198	2	1
442.695	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.538	1	1
454.695	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.73	2	1
466.712	8.5	Congruent	Incentive	AttendNumber	switch	1.135	2	1
479.912	8.5	Incongruent	Incentive	AttendLetter	switch	0.854	1	1
523.112	8.5	Congruent	NonIncentive	AttendNumber	n/a	0.96	1	1
533.912	8.5	Congruent	Incentive	AttendLetter	switch	0.811	2	1
545.912	8.5	Incongruent	Incentive	AttendNumber	switch	0.882	1	1
557.912	8.5	Incongruent	Incentive	AttendLetter	switch	0.968	1	1
568.712	8.5	Incongruent	Incentive	AttendLetter	repeat	0.724	1	1
580.712	8.5	Congruent	NonIncentive	AttendNumber	switch	0.974	2	1
593.911	8.5	Incongruent	Incentive	AttendLetter	switch	1.251	2	1
607.112	8.5	Incongruent	Incentive	AttendNumber	switch	1.014	2	1
617.912	8.5	Congruent	NonIncentive	AttendLetter	switch	0.737	1	1
631.111	8.5	Incongruent	NonIncentive	AttendNumber	switch	1.005	2	1
641.911	8.5	Congruent	NonIncentive	AttendLetter	switch	0.822	2	1
655.111	8.5	Congruent	NonIncentive	AttendNumber	switch	0.812	1	1
667.111	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.156	2	1
679.111	8.5	Congruent	NonIncentive	AttendLetter	switch	0.708	1	1
692.311	8.5	Congruent	NonIncentive	AttendNumber	switch	0.647	2	1
704.311	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.837	1	1
715.111	8.5	Congruent	NonIncentive	AttendLetter	switch	0.947	2	1
728.311	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.086	1	1
