onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.108	8.5	Congruent	NonIncentive	AttendNumber	n/a	1.288	1	0
44.308	8.5	Congruent	NonIncentive	AttendNumber	repeat	1.636	2	0
57.508	8.5	Incongruent	Incentive	AttendLetter	switch	1.701	1	1
70.708	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.596	2	1
82.708	8.5	Congruent	NonIncentive	AttendNumber	switch	1.134	1	0
93.508	8.5	Congruent	NonIncentive	AttendLetter	switch	2.121	2	1
105.508	8.5	Congruent	NonIncentive	AttendNumber	switch	0.896	1	1
116.308	8.5	Incongruent	Incentive	AttendNumber	repeat	0.959	1	1
128.316	8.5	Incongruent	Incentive	AttendLetter	switch	1.214	2	1
139.116	8.5	Congruent	NonIncentive	AttendNumber	switch	1.302	2	0
149.908	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.998	1	1
160.716	8.5	Congruent	NonIncentive	AttendLetter	switch	1.029	1	1
171.508	8.5	Incongruent	Incentive	AttendNumber	switch	1.532	1	1
184.716	8.5	Congruent	Incentive	AttendNumber	repeat	1.096	1	1
196.708	8.5	Congruent	NonIncentive	AttendLetter	switch	1.207	2	1
209.908	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.105	2	1
221.916	8.5	Congruent	Incentive	AttendLetter	repeat	0.857	1	1
235.116	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.783	1	1
277.108	8.5	Congruent	NonIncentive	AttendLetter	n/a	0.985	1	1
290.316	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.982	2	1
302.308	8.5	Congruent	NonIncentive	AttendNumber	switch	0.761	1	1
313.116	8.5	Incongruent	NonIncentive	AttendLetter	switch	1.21	2	1
325.116	8.5	Congruent	NonIncentive	AttendNumber	switch	1.177	2	1
335.916	8.5	Incongruent	Incentive	AttendLetter	switch	1.107	1	1
349.107	8.5	Incongruent	Incentive	AttendNumber	switch	1.241	2	1
362.316	8.5	Incongruent	NonIncentive	AttendNumber	repeat	1.013	2	1
373.116	8.5	Congruent	NonIncentive	AttendLetter	switch	1.507	1	1
385.107	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.606	2	1
398.307	8.5	Congruent	Incentive	AttendNumber	switch	0.959	2	1
411.516	8.5	Incongruent	Incentive	AttendLetter	switch	1.074	1	0
422.316	8.5	Incongruent	Incentive	AttendNumber	switch	0.822	2	1
433.116	8.5	Incongruent	Incentive	AttendNumber	repeat	1.328	2	1
445.116	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.765	1	1
457.116	8.5	Congruent	NonIncentive	AttendLetter	switch	0.719	1	1
470.307	8.5	Congruent	NonIncentive	AttendNumber	switch	0.803	1	1
482.316	8.5	Congruent	NonIncentive	AttendLetter	switch	0.806	2	1
523.115	8.5	Congruent	NonIncentive	AttendNumber	n/a	1.123	1	1
535.115	8.5	Congruent	Incentive	AttendLetter	switch	0.665	2	1
547.115	8.5	Congruent	NonIncentive	AttendNumber	switch	0.872	1	1
557.915	8.5	Incongruent	Incentive	AttendNumber	repeat	0.918	1	1
568.715	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.696	1	1
581.915	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.835	2	1
595.115	8.5	Congruent	NonIncentive	AttendLetter	switch	0.958	1	1
605.915	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.034	2	1
619.115	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.922	2	1
631.115	8.5	Incongruent	Incentive	AttendLetter	repeat	1.039	2	1
641.915	8.5	Incongruent	Incentive	AttendNumber	switch	0.723	2	1
653.915	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.775	2	1
667.115	8.5	Incongruent	Incentive	AttendLetter	switch	1.128	1	1
677.915	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.085	1	1
691.115	8.5	Incongruent	Incentive	AttendLetter	repeat	0.62	1	1
704.315	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.229	1	1
716.315	8.5	Congruent	NonIncentive	AttendNumber	switch	1.105	2	1
728.315	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.982	2	1
