onset	duration	trial_type	trial_incentive	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.106	8.5	Incongruent	NonIncentive	AttendNumber	n/a	1.015	1	1
41.906	8.5	Congruent	Incentive	AttendLetter	switch	1.11	2	0
55.106	8.5	Congruent	NonIncentive	AttendNumber	switch	1.503	1	1
68.306	8.5	Incongruent	Incentive	AttendLetter	switch	1.221	2	1
79.106	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.052	2	1
91.106	8.5	Incongruent	NonIncentive	AttendLetter	repeat	0.657	1	1
103.106	8.5	Incongruent	Incentive	AttendNumber	switch	0.69	1	1
113.906	8.5	Incongruent	Incentive	AttendNumber	repeat	1.206	1	1
127.106	8.5	Congruent	NonIncentive	AttendLetter	switch	1.041	2	1
139.106	8.5	Congruent	NonIncentive	AttendNumber	switch	1.583	2	1
151.106	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.715	1	1
161.906	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.813	2	1
175.105	8.5	Congruent	NonIncentive	AttendLetter	switch	0.926	2	1
187.105	8.5	Congruent	NonIncentive	AttendNumber	switch	0.86	1	1
199.105	8.5	Incongruent	Incentive	AttendLetter	switch	0.843	1	1
209.905	8.5	Congruent	Incentive	AttendNumber	switch	0.62	1	1
223.105	8.5	Congruent	NonIncentive	AttendLetter	switch	0.657	1	1
236.305	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.733	2	1
277.105	8.5	Incongruent	Incentive	AttendNumber	n/a	0.923	2	1
287.905	8.5	Incongruent	NonIncentive	AttendLetter	switch	1.207	2	1
299.905	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.039	1	1
313.105	8.5	Congruent	Incentive	AttendNumber	switch	0.72	2	1
325.105	8.5	Incongruent	Incentive	AttendLetter	switch	1.247	2	1
335.905	8.5	Incongruent	Incentive	AttendLetter	repeat	0.776	1	1
346.705	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.075	2	1
359.905	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.926	2	1
371.905	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.566	1	1
385.105	8.5	Incongruent	Incentive	AttendNumber	switch	0.566	2	1
395.905	8.5	Incongruent	NonIncentive	AttendNumber	repeat	1.26	2	1
407.905	8.5	Congruent	NonIncentive	AttendLetter	switch	0.509	1	1
419.905	8.5	Congruent	NonIncentive	AttendNumber	switch	0.947	1	1
431.905	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.758	1	1
445.105	8.5	Incongruent	Incentive	AttendNumber	repeat	0.72	2	1
455.905	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.904	2	1
469.105	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.576	1	1
482.305	8.5	Congruent	NonIncentive	AttendLetter	switch	0.744	2	1
523.105	8.5	Incongruent	Incentive	AttendLetter	n/a	0.723	1	1
536.305	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.786	1	1
549.505	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.034	2	1
560.305	8.5	Incongruent	Incentive	AttendNumber	switch	0.789	1	1
573.505	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.687	1	1
585.505	8.5	Incongruent	Incentive	AttendNumber	repeat	0.718	2	1
596.305	8.5	Incongruent	Incentive	AttendLetter	switch	0.962	2	1
608.305	8.5	Congruent	NonIncentive	AttendNumber	switch	0.746	1	1
620.305	8.5	Incongruent	Incentive	AttendLetter	switch	1.491	1	1
631.105	8.5	Congruent	NonIncentive	AttendLetter	repeat	0.848	2	1
643.105	8.5	Congruent	Incentive	AttendLetter	repeat	1.233	2	1
653.904	8.5	Congruent	NonIncentive	AttendLetter	repeat	1.28	1	1
665.904	8.5	Congruent	NonIncentive	AttendNumber	switch	0.792	2	1
677.904	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.852	1	1
691.104	8.5	Incongruent	NonIncentive	AttendNumber	repeat	0.949	2	1
704.304	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.904	2	1
715.104	8.5	Congruent	NonIncentive	AttendNumber	repeat	0.767	2	1
725.904	8.5	Congruent	NonIncentive	AttendLetter	switch	0.656	1	1
